Graphics v 0.2.5 ';' exported '2021-12-21 11:44:57'
;Record #0;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
1.25667;96.1079;0;0;398.522;14.3808;22.2296;
1.26;96.1099;0;0;399.747;14.8165;22.2336;
1.26333;96.1138;0;0;402.196;14.3553;22.2198;
1.26667;96.106;0;0;402.707;15.3052;22.2041;
1.27;96.0962;0;0;400.461;14.8302;22.1943;
1.27333;96.0824;0;0;399.9;15.3602;22.1845;
1.27667;96.0746;0;0;399.083;15.2816;22.1786;
1.28;96.0805;0;0;400.538;15.2581;22.1708;
1.28333;96.0766;0;0;399.798;15.2542;22.1668;
1.28667;96.0981;0;0;399.696;15.0579;22.1668;
1.29;96.1021;0;0;398.701;14.9794;22.1688;
1.29333;96.106;0;0;398.981;14.4789;22.1727;
1.29667;96.1079;0;0;398.675;14.7007;22.1727;
1.3;96.106;0;0;401.686;14.2807;22.1766;
1.30333;96.0922;0;0;401.711;15.264;22.1786;
1.30667;96.0844;0;0;399.313;14.5594;22.1766;
1.31;96.0864;0;0;400.027;15.3268;22.1845;
1.31333;96.0785;0;0;399.466;15.0049;22.1982;
1.31667;96.0746;0;0;401.176;15.4367;22.21;
1.32;96.0942;0;0;401.533;15.1717;22.2218;
1.32333;96.1079;0;0;400.921;15.1737;22.2277;
1.32667;96.1079;0;0;398.726;14.8616;22.2355;
1.33;96.1001;0;0;398.828;14.789;22.2414;
1.33333;96.1021;0;0;399.134;14.6811;22.2453;
1.33667;96.0922;0;0;400.078;14.6634;22.2375;
1.34;96.0824;0;0;401.176;15.0128;22.2336;
1.34333;96.0805;0;0;398.471;14.6673;22.2296;
1.34667;96.0805;0;0;399.032;15.0677;22.2277;
1.35;96.0785;0;0;397.731;14.7144;22.2237;
1.35333;96.0883;0;0;400.053;15.5152;22.2218;
1.35667;96.1021;0;0;400.716;14.9401;22.2198;
1.36;96.0981;0;0;399.645;15.2895;22.2179;
1.36333;96.0981;0;0;399.747;14.8695;22.208;
1.36667;96.106;0;0;400.155;14.8459;22.1963;
1.37;96.0903;0;0;400.512;14.6045;22.1845;
1.37333;96.0824;0;0;400.921;14.8754;22.1766;
1.37667;96.0824;0;0;401.431;15.0971;22.1668;
1.38;96.0805;0;0;399.262;14.8027;22.1649;
1.38333;96.0824;0;0;398.267;14.897;22.157;
1.38667;96.0922;0;0;397.986;14.7203;22.157;
1.39;96.104;0;0;400.665;15.527;22.1668;
1.39333;96.0962;0;0;402.324;15.0167;22.1766;
1.39667;96.104;0;0;401.354;15.315;22.1825;
1.4;96.0962;0;0;400.385;15.209;22.1884;
1.40333;96.0864;0;0;399.849;14.789;22.1923;
1.40667;96.0785;0;0;400.41;14.6457;22.1963;
1.41;96.0785;0;0;400.793;14.7576;22.2002;
1.41333;96.0707;0;0;401.125;15.1639;22.21;
1.41667;96.0824;0;0;397.706;14.897;22.2198;
1.42;96.0981;0;0;398.548;15.2031;22.2257;
1.42333;96.0981;0;0;397.91;14.8734;22.2316;
1.42667;96.1079;0;0;400.078;15.5466;22.2355;
1.43;96.104;0;0;401.533;14.9656;22.2375;
1.43333;96.106;0;0;400.563;15.472;22.2434;
1.43667;96.0942;0;0;400.461;14.7066;22.2375;
1.44;96.0962;0;0;400.155;14.9127;22.2316;
1.44333;96.0844;0;0;400.589;14.6418;22.2257;
1.44667;96.0844;0;0;400.946;14.7792;22.2237;
1.45;96.0824;0;0;400.997;15.4073;22.2198;
1.45333;96.0903;0;0;398.675;14.9892;22.2159;
1.45667;96.104;0;0;399.211;15.5348;22.2139;
1.46;96.1001;0;0;399.977;15.0658;22.212;
1.46333;96.1001;0;0;401.431;15.6997;22.2061;
1.46667;96.1001;0;0;402.451;14.9872;22.2002;
